buckets_per_day,vpin_window,bucket_size,total_pnl,buy_hold_pnl,excess_return,num_exits,win_rate,max_drawdown,num_buckets
250,100,5135.803644618468,1358.7864379012185,6695.007130248423,-5336.220692347204,110,56.36363636363636,-514.3021993454753,551750
250,125,5135.803644618468,1365.65060637439,6682.599027940377,-5316.948421565987,101,52.475247524752476,-485.29703717451866,551750
250,150,5135.803644618468,1382.2969912742565,6708.533240122495,-5326.236248848239,94,51.06382978723404,-501.16247663430727,551750
250,175,5135.803644618468,1382.9039190365447,6715.325199451577,-5332.421280415032,86,54.65116279069767,-482.7422935823897,551750
250,200,5135.803644618468,1366.0313382285376,6741.499024135783,-5375.467685907245,83,51.80722891566265,-483.47647021479384,551750
250,250,5135.803644618468,1441.8692146379829,6866.474871258785,-5424.605656620803,78,55.12820512820513,-483.8098551589418,551750
250,300,5135.803644618468,1432.1705572926169,6884.773630995208,-5452.603073702591,82,43.90243902439025,-502.2880151007996,551750
300,15,4279.83637051539,807.3786696716566,6740.265262240068,-5932.886592568411,301,55.48172757475083,-254.78389649897508,662100
300,20,4279.83637051539,841.9844145422313,6734.239160629797,-5892.254746087566,268,50.373134328358205,-254.78389649897508,662100
300,30,4279.83637051539,865.2169422961722,6694.613813478597,-5829.396871182425,217,53.91705069124424,-254.78389649897503,662100
300,50,4279.83637051539,1055.3981850752302,6671.167356074878,-5615.769170999647,181,51.93370165745856,-346.23970911576384,662100
300,75,4279.83637051539,1318.7558724964065,6691.258931181114,-5372.503058684708,140,57.14285714285714,-458.2326095904309,662100
300,100,4279.83637051539,1411.9735081994284,6735.558104643236,-5323.584596443808,125,56.00000000000001,-513.5006924089018,662100
300,125,4279.83637051539,1312.559192350841,6707.028922291572,-5394.469729940731,113,57.52212389380531,-514.4321220546581,662100
300,150,4279.83637051539,1377.8463228544665,6683.582289617408,-5305.735966762941,106,55.660377358490564,-484.8871029552246,662100
300,175,4279.83637051539,1411.9591240359573,6679.721400533752,-5267.762276497795,101,50.495049504950494,-500.62853629088556,662100
300,200,4279.83637051539,1354.647605979326,6725.99392065486,-5371.346314675534,92,56.52173913043478,-482.580831635137,662100
300,250,4279.83637051539,1328.0524630389687,6792.3753867508085,-5464.322923711839,89,49.43820224719101,-483.5313727115624,662100
300,300,4279.83637051539,1443.2678109330138,6867.716028517894,-5424.448217584881,79,51.89873417721519,-507.03172189009535,662100
